A|A|113|20230201|20230228|20230309|999|SISTEMA SAC         
A|B|074|000|PE|PC|II|EC|EI|SC|SI
E|C|074|000|20230224|20230222|NFE |147|016405|P|00000113|0000000000000|0000000000000|0000000000000|0000000000000|1|0000000000000|0000000000000|0000000000000|N|                                                            |      |0000000000|00000000|00000002|0000000120490|0000000000000|0000000000000|0000000000000|       |F|PR|001|0000000000000|0000000000000|0000000000000|0000000000000|0000000000000|0000000000000
E|I|04230     |1102  |060|0000000001000|00000000000|0000000000000|0000000000000|0000000000000|0000000000000|00000|0000000000000|0000000000000|0000000007130|0000000000000|0000000007130|      |CM|001|F|55|23022023|08022023|40936|00000000000|00000000000|207
E|I|07422     |1102  |060|0000000001000|00000000000|0000000000000|0000000000000|0000000000000|0000000000000|00000|0000000000000|0000000000000|0000000005750|0000000000000|0000000005750|      |CM|001|F|55|23022023|08022023|40936|00000000000|00000000000|207
E|I|05027     |1102  |060|0000000001000|00000000000|0000000000000|0000000000000|0000000000000|0000000000000|00000|0000000000000|0000000000000|0000000010580|0000000000000|0000000010580|      |CM|001|F|55|23022023|08022023|40936|00000000000|00000000000|207
E|I|01610     |1102  |060|0000000002000|00000000000|0000000000000|0000000000000|0000000000000|0000000000000|00000|0000000000000|0000000000000|0000000017020|0000000000000|0000000017020|      |CM|001|F|55|23022023|08022023|40936|00000000000|00000000000|207
E|I|01049     |1102  |060|0000000001000|00000000000|0000000000000|0000000000000|0000000000000|0000000000000|00000|0000000000000|0000000000000|0000000010120|0000000000000|0000000010120|      |CM|001|F|55|23022023|08022023|40936|00000000000|00000000000|207
E|I|01048     |1102  |060|0000000003000|00000000000|0000000000000|0000000000000|0000000000000|0000000000000|00000|0000000000000|0000000000000|0000000030360|0000000000000|0000000030360|      |CM|001|F|55|23022023|08022023|40936|00000000000|00000000000|207
E|I|07253     |1102  |060|0000000003000|00000000000|0000000000000|0000000000000|0000000000000|0000000000000|00000|0000000000000|0000000000000|0000000030360|0000000000000|0000000030360|      |CM|001|F|55|23022023|08022023|40936|00000000000|00000000000|207
E|I|06488     |1102  |060|0000000001000|00000000000|0000000000000|0000000000000|0000000000000|0000000000000|00000|0000000000000|0000000000000|0000000008510|0000000000000|0000000008510|      |CM|001|F|55|23022023|08022023|40936|00000000000|00000000000|207
E|I|05611     |1102  |060|0000000001000|00000000000|0000000000000|0000000000000|0000000000000|0000000000000|00000|0000000000000|0000000000000|0000000008510|0000000000000|0000000008510|      |CM|001|F|55|23022023|08022023|40936|00000000000|00000000000|207
E|I|05027     |1102  |060|0000000002000|00000000000|0000000000000|0000000000000|0000000000000|0000000000000|00000|0000000000000|0000000000000|0000000018860|0000000000000|0000000018860|      |CM|001|F|55|23022023|08022023|40936|00000000000|00000000000|207
E|C|074|000|20230222|20230221|NFE |207|041134|P|00000055|0000000000000|0000000000000|0000000000000|0000000000000|1|0000000000000|0000000000000|0000000000000|N|                                                            |      |0000000000|00000000|00000002|0000000105110|0000000000000|0000000000000|0000000000000|       |F|PR|001|0000000000000|0000000000000|0000000000000|0000000000000|0000000000000|0000000000000
E|I|07253     |1102  |060|0000000003000|00000000000|0000000000000|0000000000000|0000000000000|0000000000000|00000|0000000000000|0000000000000|0000000030360|0000000000000|0000000030360|      |CM|001|F|55|28022023|22022023|41134|00000000000|00000000000|207
E|I|05027     |1102  |060|0000000002000|00000000000|0000000000000|0000000000000|0000000000000|0000000000000|00000|0000000000000|0000000000000|0000000018860|0000000000000|0000000018860|      |CM|001|F|55|28022023|22022023|41134|00000000000|00000000000|207
E|I|01048     |1102  |060|0000000005000|00000000000|0000000000000|0000000000000|0000000000000|0000000000000|00000|0000000000000|0000000000000|0000000050600|0000000000000|0000000050600|      |CM|001|F|55|28022023|22022023|41134|00000000000|00000000000|207
E|I|05143     |1102  |051|0000000001000|00000000000|0000000000000|0000000000000|0000000000000|0000000000000|00000|0000000000000|0000000000000|0000000000000|0000000000000|0000000005290|      |CM|001|F|55|28022023|22022023|41134|00000000000|00000000000|207
